family,target,budget,repeat,fold,model,preprocessing,fit_seconds,model_bytes,mae,rmse,r2,rpiq,baseline_rmse,rmse_improvement_pct,best_epoch,validation_loss,parameters,device
PLS–Extra Trees,K,300,1,2,PLS–Extra Trees,SNV + latent scores,0.11118633300065994,3602028,0.7190370568611253,1.310877794856327,0.3464622873009049,0.9585072351831956,1.7944552577890898,26.94842687404579,,,,
PLS–Extra Trees,K,300,1,3,PLS–Extra Trees,SNV + latent scores,0.11029770798631944,3610524,0.9203688511161167,2.1378107338226715,0.02966643254684409,0.44124813533574764,2.2750770789443266,6.033481080357462,,,,
PLS–Extra Trees,K,300,1,4,PLS–Extra Trees,SNV + latent scores,0.10600216701277532,3613980,0.9072106089015249,1.8092387455063137,0.14099747655447492,0.5927742198058487,2.0794238673225656,12.99326828272574,,,,
PLS–Extra Trees,K,300,1,5,PLS–Extra Trees,SNV + latent scores,0.10319745901506394,3620316,0.5971701849391323,0.9104384130830936,0.34363508212596927,1.584646609732247,1.2353893522394117,26.303524355886175,,,,
PCA–Gaussian Process,N,300,1,1,PCA–Gaussian Process,SNV + latent scores,0.030624665989307687,838920,0.15826701233311585,0.29675923736446064,0.7752963964888813,0.9857485906689181,0.6680419615868559,55.57775492731869,,,,
PCA–Gaussian Process,N,300,1,2,PCA–Gaussian Process,SNV + latent scores,0.011902958998689428,838920,0.2778521757061912,0.5615734045414864,0.44194959479604345,0.8812294100787336,0.8291878893090916,32.27428767569084,,,,
PCA–Gaussian Process,N,300,1,3,PCA–Gaussian Process,SNV + latent scores,0.011980749986832961,838920,0.21780362376872345,0.4026904931488344,0.7474153883174784,0.9269712256704178,0.881276691103859,54.30600886034587,,,,
PCA–Gaussian Process,N,300,1,4,PCA–Gaussian Process,SNV + latent scores,0.011440333997597918,838920,0.1809662148343939,0.29617155251275246,0.6326926238677743,1.1482956317533448,0.5213985372112638,43.19670436805472,,,,
PCA–Gaussian Process,N,300,1,5,PCA–Gaussian Process,SNV + latent scores,0.012293125008000061,838920,0.18141060091064715,0.27194088322651605,0.8085134314799105,1.5089217006705278,0.6828521291514487,60.175728885191376,,,,
PCA–Gaussian Process,P,300,1,1,PCA–Gaussian Process,SNV + latent scores,0.012854375003371388,838920,12.861754066280197,21.0784326537277,-0.0976894939095434,0.9319769488131544,22.526477636302914,6.428190886983567,,,,
PCA–Gaussian Process,P,300,1,2,PCA–Gaussian Process,SNV + latent scores,0.018549999978858978,838920,11.835393638237859,22.118198983698395,-0.11023556386929356,0.6231738176403392,23.12186962055922,4.340784950921068,,,,
PCA–Gaussian Process,P,300,1,3,PCA–Gaussian Process,SNV + latent scores,0.013245041976915672,838920,12.09959993682197,23.754133244684542,-0.12945299662324206,0.6824190271656141,24.563418800971696,3.2946780040860593,,,,
PCA–Gaussian Process,P,300,1,4,PCA–Gaussian Process,SNV + latent scores,0.012591790989972651,838920,13.37744380342102,24.094802323865352,-0.0943920687067743,0.7600475303281986,25.28724986217221,4.715607845085078,,,,
PCA–Gaussian Process,P,300,1,5,PCA–Gaussian Process,SNV + latent scores,0.011951209016842768,838920,10.905189323704999,23.875926318945456,0.1238614011640391,0.35306158962766976,26.082682169643615,8.460617034495385,,,,
PCA–Gaussian Process,K,300,1,1,PCA–Gaussian Process,SNV + latent scores,0.013095834001433104,838920,0.5568870299325306,0.7546396461639819,0.2678692359210486,1.2240839781122828,0.9641801044924795,21.732501775567588,,,,
PCA–Gaussian Process,K,300,1,2,PCA–Gaussian Process,SNV + latent scores,0.012893125007394701,838920,0.8537817637385607,1.4592459416640513,0.19015253289102374,0.8610514615363251,1.7944552577890898,18.68028275823621,,,,
PCA–Gaussian Process,K,300,1,3,PCA–Gaussian Process,SNV + latent scores,0.011806166992755607,838920,0.8833301841470343,2.1632614821792346,0.0064251633879252035,0.4360568557110951,2.2750770789443266,4.914804768591678,,,,
